month,state,totals
2018-02-01,New Hampshire,11486
2018-02-01,New Jersey,8459
2018-02-01,New Mexico,15891
2018-02-01,New York,31129
2018-02-01,North Carolina,53082
2018-02-01,North Dakota,5116
2018-02-01,Ohio,73240
2018-02-01,Oklahoma,31763
2018-02-01,Oregon,32397
2018-02-01,Pennsylvania,98075
2018-02-01,Puerto Rico,2076
2018-02-01,Rhode Island,2646
2018-02-01,South Carolina,28968
2018-02-01,South Dakota,8086
2018-02-01,Tennessee,66667
2018-02-01,Texas,155942
2018-02-01,Utah,22632
2018-02-01,Vermont,3870
2018-02-01,Virgin Islands,41
2018-02-01,Virginia,47385
2018-02-01,Washington,53915
2018-02-01,West Virginia,23344
2018-02-01,Wisconsin,43777
2018-02-01,Wyoming,5057
2018-01-01,Alabama,38477
2018-01-01,Alaska,4429
2018-01-01,Arizona,28627
2018-01-01,Arkansas,17483
2018-01-01,California,119910
2018-01-01,Colorado,41989
2018-01-01,Connecticut,13775
2018-01-01,Delaware,3684
2018-01-01,District of Columbia,283
2018-01-01,Florida,98243
2018-01-01,Georgia,45591
2018-01-01,Guam,135
2018-01-01,Hawaii,1185
2018-01-01,Idaho,15060
2018-01-01,Illinois,170007
2018-01-01,Indiana,83769
2018-01-01,Iowa,19745
2018-01-01,Kansas,13782
2018-01-01,Kentucky,402376
2018-01-01,Louisiana,20744
2018-01-01,Maine,5850
2018-01-01,Mariana Islands,10
2018-01-01,Maryland,12564
2018-01-01,Massachusetts,16120
2018-01-01,Michigan,35895
2018-01-01,Minnesota,50478
2018-01-01,Mississippi,16642
2018-01-01,Missouri,35204
2018-01-01,Montana,7448
2018-01-01,Nebraska,6645
2018-01-01,Nevada,9952
2018-01-01,New Hampshire,8758
2018-01-01,New Jersey,8010
2018-01-01,New Mexico,11783
2018-01-01,New York,26079
2018-01-01,North Carolina,43439
2018-01-01,North Dakota,4388
2018-01-01,Ohio,52079
2018-01-01,Oklahoma,23460
2018-01-01,Oregon,27037
2018-01-01,Pennsylvania,78428
2018-01-01,Puerto Rico,2022
2018-01-01,Rhode Island,1882
2018-01-01,South Carolina,22311
2018-01-01,South Dakota,6556
2018-01-01,Tennessee,55251
2018-01-01,Texas,123042
2018-01-01,Utah,21187
2018-01-01,Vermont,2268
2018-01-01,Virgin Islands,137
2018-01-01,Virginia,35206
2018-01-01,Washington,51432
2018-01-01,West Virginia,15102
2018-01-01,Wisconsin,36791
2018-01-01,Wyoming,3971
2017-12-01,Alabama,56545
2017-12-01,Alaska,8330
2017-12-01,Arizona,41559
2017-12-01,Arkansas,29559
2017-12-01,California,142492
2017-12-01,Colorado,59800
2017-12-01,Connecticut,15455
2017-12-01,Delaware,5544
2017-12-01,District of Columbia,204
2017-12-01,Florida,137355
2017-12-01,Georgia,64491
2017-12-01,Guam,181
2017-12-01,Hawaii,1119
2017-12-01,Idaho,19750
2017-12-01,Illinois,163756
2017-12-01,Indiana,92261
2017-12-01,Iowa,19236
2017-12-01,Kansas,23133
2017-12-01,Kentucky,417841
2017-12-01,Louisiana,41735
2017-12-01,Maine,9364
2017-12-01,Mariana Islands,23
2017-12-01,Maryland,16062
2017-12-01,Massachusetts,17941
2017-12-01,Michigan,45578
2017-12-01,Minnesota,51143
2017-12-01,Mississippi,35528
2017-12-01,Missouri,62810
2017-12-01,Montana,12979
2017-12-01,Nebraska,8953
2017-12-01,Nevada,13626
2017-12-01,New Hampshire,12035
2017-12-01,New Jersey,9341
2017-12-01,New Mexico,18635
2017-12-01,New York,36347
2017-12-01,North Carolina,57209
2017-12-01,North Dakota,6528
2017-12-01,Ohio,78726
2017-12-01,Oklahoma,41245
2017-12-01,Oregon,38537
2017-12-01,Pennsylvania,107730
2017-12-01,Puerto Rico,2767
2017-12-01,Rhode Island,2269
2017-12-01,South Carolina,38260
2017-12-01,South Dakota,10507
2017-12-01,Tennessee,87983
2017-12-01,Texas,181236
2017-12-01,Utah,27220
2017-12-01,Vermont,3759
2017-12-01,Virgin Islands,131
2017-12-01,Virginia,60398
2017-12-01,Washington,58937
2017-12-01,West Virginia,27273
2017-12-01,Wisconsin,47120
2017-12-01,Wyoming,6940
2017-11-01,Alabama,47418
2017-11-01,Alaska,7527
2017-11-01,Arizona,34541
2017-11-01,Arkansas,26049
2017-11-01,California,140695
2017-11-01,Colorado,51473
2017-11-01,Connecticut,14334
2017-11-01,Delaware,4577
2017-11-01,District of Columbia,365
2017-11-01,Florida,123397
2017-11-01,Georgia,54950
2017-11-01,Guam,127
2017-11-01,Hawaii,1171
2017-11-01,Idaho,15772
2017-11-01,Illinois,150588
2017-11-01,Indiana,75879
2017-11-01,Iowa,17182
2017-11-01,Kansas,20460
2017-11-01,Kentucky,404508
2017-11-01,Louisiana,35485
2017-11-01,Maine,8578
2017-11-01,Mariana Islands,21
2017-11-01,Maryland,16266
2017-11-01,Massachusetts,17548
2017-11-01,Michigan,54350
2017-11-01,Minnesota,48087
2017-11-01,Mississippi,28188
2017-11-01,Missouri,56129
2017-11-01,Montana,11107
2017-11-01,Nebraska,8303
2017-11-01,Nevada,12064
2017-11-01,New Hampshire,11627
2017-11-01,New Jersey,9433
2017-11-01,New Mexico,16110
2017-11-01,New York,37306
2017-11-01,North Carolina,51839
2017-11-01,North Dakota,6334
2017-11-01,Ohio,76732
2017-11-01,Oklahoma,38406
2017-11-01,Oregon,34103
2017-11-01,Pennsylvania,104479
2017-11-01,Puerto Rico,2307
2017-11-01,Rhode Island,2173
2017-11-01,South Carolina,34132
2017-11-01,South Dakota,9908
2017-11-01,Tennessee,74800
2017-11-01,Texas,163358
2017-11-01,Utah,24359
2017-11-01,Vermont,3240
2017-11-01,Virgin Islands,86
2017-11-01,Virginia,53142
2017-11-01,Washington,53072
2017-11-01,West Virginia,24455
2017-11-01,Wisconsin,48683
2017-11-01,Wyoming,5665
2017-10-01,Alabama,36619
2017-10-01,Alaska,8080
2017-10-01,Arizona,29277
2017-10-01,Arkansas,20327
2017-10-01,California,119395
2017-10-01,Colorado,40163
2017-10-01,Connecticut,13201
2017-10-01,Delaware,3692
2017-10-01,District of Columbia,217
2017-10-01,Florida,103032
2017-10-01,Georgia,43293
2017-10-01,Guam,135
2017-10-01,Hawaii,1235
2017-10-01,Idaho,15130
2017-10-01,Illinois,122798
2017-10-01,Indiana,55336
2017-10-01,Iowa,14012
2017-10-01,Kansas,15018
2017-10-01,Kentucky,401155
2017-10-01,Louisiana,27436
2017-10-01,Maine,10328
2017-10-01,Mariana Islands,9
2017-10-01,Maryland,13651
2017-10-01,Massachusetts,16842
2017-10-01,Michigan,44262
2017-10-01,Minnesota,55012
2017-10-01,Mississippi,19080
2017-10-01,Missouri,43987
2017-10-01,Montana,11673
2017-10-01,Nebraska,6543
2017-10-01,Nevada,10198
2017-10-01,New Hampshire,10371
2017-10-01,New Jersey,7852
2017-10-01,New Mexico,13543
2017-10-01,New York,32615
2017-10-01,North Carolina,43211
2017-10-01,North Dakota,6209
2017-10-01,Ohio,56960
2017-10-01,Oklahoma,25822
2017-10-01,Oregon,27786
2017-10-01,Pennsylvania,87064
2017-10-01,Puerto Rico,1306
2017-10-01,Rhode Island,2103
2017-10-01,South Carolina,28996
2017-10-01,South Dakota,9244
2017-10-01,Tennessee,55531
2017-10-01,Texas,129869
2017-10-01,Utah,19619
2017-10-01,Vermont,3463
2017-10-01,Virgin Islands,68
2017-10-01,Virginia,40293
2017-10-01,Washington,48147
2017-10-01,West Virginia,18256
2017-10-01,Wisconsin,43183
2017-10-01,Wyoming,4370
2017-09-01,Alabama,32019
2017-09-01,Alaska,6303
2017-09-01,Arizona,28394
2017-09-01,Arkansas,17747
2017-09-01,California,123506
2017-09-01,Colorado,35873
2017-09-01,Connecticut,12117
2017-09-01,Delaware,3502
2017-09-01,District of Columbia,61
2017-09-01,Florida,77390
2017-09-01,Georgia,35371
2017-09-01,Guam,135
2017-09-01,Hawaii,948
2017-09-01,Idaho,14938
2017-09-01,Illinois,116449
2017-09-01,Indiana,48524
2017-09-01,Iowa,9975
2017-09-01,Kansas,12856
2017-09-01,Kentucky,398706
2017-09-01,Louisiana,27821
2017-09-01,Maine,8715
2017-09-01,Mariana Islands,16
2017-09-01,Maryland,11255
2017-09-01,Massachusetts,15460
2017-09-01,Michigan,36944
2017-09-01,Minnesota,44552
2017-09-01,Mississippi,17491
2017-09-01,Missouri,37571
